pathway	pval	padj	log2err	ES	NES	size	leadingEdge
30	KEGG_TASTE_TRANSDUCTION	0.176113360323887	0.517581583607387	0.148261500475107	0.524333462339703	1.27537520209225	12	c("SCNN1B", "ADCY8", "ITPR3")
31	KEGG_RETINOL_METABOLISM	0.182341650671785	0.517581583607387	0.141225119642531	0.473755794245511	1.27050350483764	18	c("CYP26B1", "CYP26A1", "LRAT", "BCO1", "RETSAT", "CYP1A2", "UGT1A1", "DHRS4")
32	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.142857142857143	0.450363196125908	0.160801401070022	0.391801596021614	1.26250842423633	38	c("LAMA2", "DES", "ITGA7", "ITGA10", "TPM2", "ACE", "PRKAB2", "SGCB", "ITGA3", "ITGA2B", "ITGA6", "CACNG5")
33	KEGG_MISMATCH_REPAIR	0.211350293542074	0.529941980936593	0.131457611642763	0.47558679598472	1.23825933251676	15	c("RPA2", "LIG1", "POLD2", "POLD3", "RPA1", "POLD1", "RFC3", "MSH2", "RPA3")
34	KEGG_MELANOGENESIS	0.146892655367232	0.455367231638418	0.157402899305283	0.352523505474392	1.23545198031866	60	c("WNT10B", "WNT1", "FZD5", "EDNRB", "FZD4", "FZD8", "PLCB1", "WNT2", "ADCY8", "MITF", "WNT9B", "ADCY1", "FZD7", "KRAS")
35	KEGG_SPHINGOLIPID_METABOLISM	0.191650853889943	0.519446159273305	0.136490437780413	0.425852819854262	1.22384322784221	24	c("SGPL1", "ARSA", "ACER2", "GALC", "GLA", "SMPD2", "GLB1", "SMPD1", "NEU1", "NEU3", "KDSR", "PLPP1", "SGMS2", "ASAH1")
36	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.200389105058366	0.524963007617691	0.135002033828631	0.417444752068693	1.21555827541667	26	c("SDS", "GOT1", "AHCY", "CBS", "GOT2", "MAT2B", "LDHB", "MPST", "MAT1A", "DNMT3A", "TAT")
37	KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.238747553816047	0.555088062622309	0.122679189568808	0.4633380248846	1.21070238644268	16	c("EGFR", "KRAS", "ETS2", "NOTCH1", "SPIRE1", "GRB2")
38	KEGG_THYROID_CANCER	0.21264367816092	0.529941980936593	0.129442887745046	0.417982892425779	1.20694608371898	25	c("MYC", "NCOA4", "NTRK1", "KRAS", "CCDC6")
39	KEGG_GALACTOSE_METABOLISM	0.231225296442688	0.544403862510632	0.12563992130984	0.454683100775432	1.19975561796522	17	c("PFKM", "AKR1B1", "UGP2", "GAA", "PFKL", "GANC", "GLA", "GLB1")
40	KEGG_NOTCH_SIGNALING_PATHWAY	0.213872832369942	0.529941980936593	0.129442887745046	0.383905839502772	1.1932308856869	34	c("HES1", "DLL1", "MAML3", "NCOR2", "PSEN1", "MAML1", "NCSTN", "NOTCH1")
