nodeName	altName	nodeAttr[nodesPresent, ]
MAN1A1	NA	red
MAN1A2	NA	red
MANBA	NA	red
MAP2K1	NA	red
MAP3K2	NA	red
MAP3K7	NA	red
MAPK11	NA	red
MAPK14	NA	red
MAPK8	NA	red
MAPK9	NA	red
MAPKAPK2	NA	red
MAPRE1	NA	red
MARCHF7	NA	red
MAST2	NA	red
MAT1A	NA	red
MAT2A	NA	red
MAX	NA	red
MBD1	NA	red
MBD5	NA	red
MBNL1	NA	red
MBNL2	NA	red
MBTD1	NA	red
MC1R	NA	red
MCL1	NA	red
MCRS1	NA	red
MDM2	NA	red
MED13	NA	red
MED16	NA	red
METTL13	NA	red
METTL16	NA	red
METTL3	NA	red
MEX3C	NA	red
MFAP1	NA	red
MFGE8	NA	red
MFN2	NA	red
MFSD12	NA	red
MFSD14A	NA	red
MFSD14B	NA	red
MFSD5	NA	red
MGA	NA	red
MGAT1	NA	red
MIB1	NA	red
MIEN1	NA	red
MIER1	NA	red
MIER3	NA	red
MIIP	NA	red
MKKS	NA	red
MKRN2	NA	red
MLLT10	NA	red
MLXIPL	NA	red
MNT	NA	red
MOB1A	NA	red
MORC3	NA	red
MOSMO	NA	red
MPC1	NA	red
MPV17	NA	red
MRGBP	NA	red
MRM3	NA	red
MRNIP	NA	red
MRPL14	NA	red
MRPL4	NA	red
MRPL58	NA	red
MRPS2	NA	red
MSL1	NA	red
MSL2	NA	red
MTA2	NA	red
MTF1	NA	red
MTFP1	NA	red
MTMR1	NA	red
MTMR3	NA	red
MTMR6	NA	red
MUTYH	NA	red
MVB12B	NA	red
MVK	NA	red
MXD1	NA	red
MYBL1	NA	red
MYCBP2	NA	red
MYLIP	NA	red
MYNN	NA	red
MYO1B	NA	red
MYORG	NA	red
N4BP1	NA	red
N4BP3	NA	red
NAA16	NA	red
NAA80	NA	red
NAALADL2	NA	red
NANP	NA	red
NAP1L1	NA	red
NBEAL2	NA	red
NCAPD2	NA	red
NCBP1	NA	red
NCEH1	NA	red
NCK1	NA	red
NCKAP1L	NA	red
NCOA1	NA	red
NCOA3	NA	red
NCOA4	NA	red
NCOA6	NA	red
NCOR1	NA	red
NDEL1	NA	red
NDST1	NA	red
NDUFS5	NA	red
NF1	NA	red
NF2	NA	red
NFKBIB	NA	red
NFRKB	NA	red
NFX1	NA	red
NGDN	NA	red
NHERF2	NA	red
NHLRC3	NA	red
NHSL2	NA	red
NICN1	NA	red
NIN	NA	red
NIPBL	NA	red
NKRF	NA	red
NME6	NA	red
NOA1	NA	red
NOC3L	NA	red
NOCT	NA	red
NOD1	NA	red
NOL3	NA	red
NOL6	NA	red
NOP2	NA	red
NOP58	NA	red
NOPCHAP1	NA	red
