nodeName	altName	nodeAttr[nodesPresent, ]
COG8	NA	red
COL7A1	NA	red
COLGALT1	NA	red
COMMD2	NA	red
COMMD3	NA	red
COMMD6	NA	red
COPS7A	NA	red
COQ9	NA	red
CORO1C	NA	red
CPEB4	NA	red
CPED1	NA	red
CPN2	NA	red
CPNE1	NA	red
CPSF6	NA	red
CPT2	NA	red
CRB3	NA	red
CRCP	NA	red
CREB3L2	NA	red
CREM	NA	red
CRIP3	NA	red
CRK	NA	red
CRKL	NA	red
CRPPA	NA	red
CRY2	NA	red
CRYBG1	NA	red
CSNK1D	NA	red
CSNK1G3	NA	red
CSPP1	NA	red
CSRNP2	NA	red
CST7	NA	red
CSTB	NA	red
CSTF3	NA	red
CTCFL	NA	red
CTDNEP1	NA	red
CTDSPL2	NA	red
CTIF	NA	red
CTNNAL1	NA	red
CTPS1	NA	red
CTSS	NA	red
CTSZ	NA	red
CTTNBP2NL	NA	red
CUNH1orf159	NA	red
CUX1	NA	red
CWC27	NA	red
CXCR4	NA	red
CXH2orf68	NA	red
CXH2orf72	NA	red
CXHXorf58	NA	red
CYSLTR2	NA	red
CYYR1	NA	red
DAPK2	NA	red
DAPP1	NA	red
DAZAP1	NA	red
DBF4	NA	red
DCAF1	NA	red
DCAF10	NA	red
DCAF13	NA	red
DCAF15	NA	red
DCAF17	NA	red
DCN	NA	red
DCP1A	NA	red
DCP2	NA	red
DCPS	NA	red
DCTN1	NA	red
DDIT3	NA	red
DDX17	NA	red
DDX27	NA	red
DDX3X	NA	red
DDX41	NA	red
DDX46	NA	red
DDX5	NA	red
DDX51	NA	red
DDX6	NA	red
DEF6	NA	red
DENND1B	NA	red
DENND2B	NA	red
DENND4C	NA	red
DENND5A	NA	red
DESI2	NA	red
DGCR2	NA	red
DGCR8	NA	red
DGKH	NA	red
DGKZ	NA	red
DHRSX	NA	red
DHX15	NA	red
DHX16	NA	red
DHX34	NA	red
DHX35	NA	red
DHX9	NA	red
DIP2B	NA	red
DIS3L	NA	red
DIS3L2	NA	red
DISP2	NA	red
DLGAP4	NA	red
DLL4	NA	red
DLST	NA	red
DMTN	NA	red
DMXL1	NA	red
DNAAF10	NA	red
DNAI4	NA	red
DNAJA1	NA	red
DNAJB1	NA	red
DNAJB4	NA	red
DNAJC11	NA	red
DNAJC13	NA	red
DNAJC14	NA	red
DNAJC18	NA	red
DNAJC4	NA	red
DNAJC7	NA	red
DNAL1	NA	red
DNAL4	NA	red
DNM2	NA	red
DOCK11	NA	red
DOCK2	NA	red
DOCK4	NA	red
DOLPP1	NA	red
DPF2	NA	red
DPY19L4	NA	red
DRAP1	NA	red
DRC1	NA	red
DSE	NA	red
DTX3L	NA	red
DTX4	NA	red
DUSP16	NA	red
DUSP19	NA	red
DUSP7	NA	red
DUSP8	NA	red
DYNC1H1	NA	red
DYNC2I1	NA	red
DYNLT1	NA	red
DYRK1A	NA	red
E2F6	NA	red
ECPAS	NA	red
EDC4	NA	red
EEA1	NA	red
EEF1AKMT1	NA	red
